rank,u_roi,u_label,v_roi,v_label,weight
1,92,CC1R,100,Cere6R,0.08234514
2,100,Cere6R,102,Cere7bR,0.07052439
3,95,Cere3L,109,Verm1_2,0.06982873
4,101,Cere7bL,102,Cere7bR,0.06408983
5,101,Cere7bL,103,Cere8L,0.06330754
6,91,CC1L,111,Verm4_5,0.06179092
7,103,Cere8L,104,Cere8R,0.06163326
8,93,CC2L,101,Cere7bL,0.05716980
9,91,CC1L,101,Cere7bL,0.05423181
10,101,Cere7bL,105,Cere9L,0.05331105
11,101,Cere7bL,104,Cere8R,0.05311457
12,91,CC1L,102,Cere7bR,0.05306123
13,92,CC1R,106,Cere9R,0.05257324
14,103,Cere8L,105,Cere9L,0.05255226
15,94,CC2R,104,Cere8R,0.05247492
16,92,CC1R,101,Cere7bL,0.05213681
17,94,CC2R,101,Cere7bL,0.05147830
18,92,CC1R,112,Verm6,0.05121940
19,91,CC1L,104,Cere8R,0.05110928
20,91,CC1L,98,Cere4_5R,0.04985330
21,99,Cere6L,105,Cere9L,0.04976197
22,91,CC1L,97,Cere4_5L,0.04927227
23,94,CC2R,102,Cere7bR,0.04628992
24,109,Verm1_2,110,Verm3,0.04230768
25,92,CC1R,111,Verm4_5,0.04227486
26,92,CC1R,113,Verm7,0.04220721
27,92,CC1R,104,Cere8R,0.04171306
28,99,Cere6L,112,Verm6,0.04043393
29,38,HIPR,75,PALL,0.03984199
30,90,ITGR,101,Cere7bL,0.03979502
31,109,Verm1_2,114,Verm8,0.03975045
32,99,Cere6L,102,Cere7bR,0.03951889
33,20,SMAR,70,PCLR,0.03943384
34,104,Cere8R,106,Cere9R,0.03373145
35,91,CC1L,113,Verm7,0.03284347
36,102,Cere7bR,106,Cere9R,0.03189217
37,103,Cere8L,114,Verm8,0.03173672
38,102,Cere7bR,103,Cere8L,0.03149296
39,104,Cere8R,113,Verm7,0.03132055
40,102,Cere7bR,113,Verm7,0.03122873
41,106,Cere9R,113,Verm7,0.03082638
42,101,Cere7bL,108,Cere10R,0.03063403
43,97,Cere4_5L,106,Cere9R,0.03052920
44,101,Cere7bL,107,Cere10L,0.03051548
45,75,PALL,76,PALR,0.03037667
46,38,HIPR,42,AMYGR,0.03029043
47,97,Cere4_5L,113,Verm7,0.03023460
48,38,HIPR,41,AMYGL,0.03011884
49,70,PCLR,111,Verm4_5,0.02999042
50,78,THAR,111,Verm4_5,0.02997425
