rank,u_roi,u_label,v_roi,v_label,weight
1,37,HIPL,97,Cere4_5L,0.08474819
2,40,PHGR,97,Cere4_5L,0.05745028
3,96,Cere3R,105,Cere9L,0.05619438
4,110,Verm3,111,Verm4_5,0.05231445
5,104,Cere8R,110,Verm3,0.04809245
6,93,CC2L,107,Cere10L,0.04689597
7,93,CC2L,99,Cere6L,0.04682128
8,96,Cere3R,112,Verm6,0.04677838
9,37,HIPL,39,PHGL,0.04673412
10,106,Cere9R,108,Cere10R,0.04647458
11,38,HIPR,97,Cere4_5L,0.04646351
12,37,HIPL,96,Cere3R,0.04619494
13,91,CC1L,93,CC2L,0.04172769
14,92,CC1R,94,CC2R,0.04024802
15,93,CC2L,94,CC2R,0.03951554
16,67,PCUNL,92,CC1R,0.03833983
17,107,Cere10L,109,Verm1_2,0.03805173
18,105,Cere9L,116,Verm10,0.03799616
19,95,Cere3L,112,Verm6,0.03794870
20,96,Cere3R,107,Cere10L,0.03791954
21,106,Cere9R,112,Verm6,0.03779777
22,36,PCGR,93,CC2L,0.03776479
23,103,Cere8L,112,Verm6,0.03764353
24,86,MTGR,93,CC2L,0.03753785
25,94,CC2R,112,Verm6,0.03738344
26,91,CC1L,107,Cere10L,0.03733108
27,39,PHGL,40,PHGR,0.03718897
28,97,Cere4_5L,114,Verm8,0.03703132
29,96,Cere3R,115,Verm9,0.03690519
30,98,Cere4_5R,114,Verm8,0.03610774
31,97,Cere4_5L,105,Cere9L,0.03573187
32,109,Verm1_2,115,Verm9,0.02880903
33,1,PreCGL,61,IPLL,0.02869987
34,86,MTGR,91,CC1L,0.02866797
35,4,SFGdorR,91,CC1L,0.02858231
36,98,Cere4_5R,116,Verm10,0.02854993
37,105,Cere9L,109,Verm1_2,0.02851901
38,69,PCLL,110,Verm3,0.02842365
39,40,PHGR,98,Cere4_5R,0.02841948
40,57,PoCGL,58,PoCGR,0.02840786
41,3,SFGdorL,4,SFGdorR,0.02838598
42,95,Cere3L,104,Cere8R,0.02829824
43,110,Verm3,116,Verm10,0.02819983
44,95,Cere3L,107,Cere10L,0.02815410
45,93,CC2L,111,Verm4_5,0.02810998
46,110,Verm3,115,Verm9,0.02807694
47,43,CALL,111,Verm4_5,0.02800846
48,107,Cere10L,112,Verm6,0.02799545
49,71,CAUL,74,PUTR,0.02794623
50,108,Cere10R,115,Verm9,0.02792168
