rank,u_roi,u_label,v_roi,v_label,weight
1,9,ORBmidL,10,ORBmidR,0.15394731
2,4,SFGdorR,68,PCUNR,0.11304644
3,4,SFGdorR,32,ACGR,0.09850532
4,5,ORBsupL,9,ORBmidL,0.08999117
5,74,PUTR,79,HESL,0.08879806
6,73,PUTL,79,HESL,0.08742987
7,78,THAR,79,HESL,0.08198921
8,30,INSR,73,PUTL,0.08139773
9,20,SMAR,64,SMGR,0.08103741
10,73,PUTL,75,PALL,0.08088488
11,29,INSL,64,SMGR,0.08002415
12,31,ACGL,71,CAUL,0.07657377
13,12,IFGopercR,81,STGL,0.07277663
14,6,ORBsupR,28,RECR,0.07202771
15,16,ORBinfR,22,OLFR,0.07157143
16,62,IPLR,68,PCUNR,0.07107994
17,7,MFGL,8,MFGR,0.07097277
18,8,MFGR,9,ORBmidL,0.06968009
19,10,ORBmidR,22,OLFR,0.06778440
20,13,IFGtriangL,73,PUTL,0.06656609
21,34,DCGR,79,HESL,0.06427032
22,9,ORBmidL,62,IPLR,0.06295009
23,8,MFGR,34,DCGR,0.06255886
24,65,ANGL,86,MTGR,0.06221288
25,34,DCGR,68,PCUNR,0.06109753
26,30,INSR,63,SMGL,0.06068876
27,12,IFGopercR,72,CAUR,0.06033979
28,14,IFGtriangR,24,SFGmedR,0.05914272
29,8,MFGR,12,IFGopercR,0.05883866
30,4,SFGdorR,24,SFGmedR,0.05736850
31,51,MOGL,60,SPGR,0.05598379
32,8,MFGR,14,IFGtriangR,0.05524718
33,73,PUTL,80,HESR,0.05512226
34,26,ORBsupmedR,31,ACGL,0.05470144
35,10,ORBmidR,102,Cere7bR,0.05464409
36,12,IFGopercR,62,IPLR,0.05459306
37,71,CAUL,77,THAL,0.05444406
38,1,PreCGL,59,SPGL,0.05289272
39,62,IPLR,67,PCUNL,0.05283928
40,95,Cere3L,105,Cere9L,0.05236518
41,12,IFGopercR,60,SPGR,0.05233314
42,9,ORBmidL,26,ORBsupmedR,0.05190602
43,12,IFGopercR,82,STGR,0.05137571
44,6,ORBsupR,27,RECL,0.05057425
45,27,RECL,72,CAUR,0.05028818
46,14,IFGtriangR,81,STGL,0.04999356
47,8,MFGR,68,PCUNR,0.04985305
48,7,MFGL,13,IFGtriangL,0.04980313
49,16,ORBinfR,28,RECR,0.04948488
50,9,ORBmidL,27,RECL,0.04902536
