rank,u_roi,u_label,v_roi,v_label,weight
1,63,SMGL,64,SMGR,0.11139080
2,12,IFGopercR,20,SMAR,0.09862472
3,18,ROLR,30,INSR,0.09259547
4,30,INSR,32,ACGR,0.09052914
5,15,ORBinfL,16,ORBinfR,0.09048232
6,29,INSL,31,ACGL,0.08415524
7,21,OLFL,22,OLFR,0.08329421
8,64,SMGR,81,STGL,0.08228547
9,30,INSR,31,ACGL,0.07825129
10,18,ROLR,64,SMGR,0.07772075
11,6,ORBsupR,8,MFGR,0.07534846
12,3,SFGdorL,4,SFGdorR,0.07497613
13,11,IFGopercL,109,Verm1_2,0.07451400
14,12,IFGopercR,13,IFGtriangL,0.07163163
15,14,IFGtriangR,109,Verm1_2,0.07120366
16,21,OLFL,107,Cere10L,0.06990044
17,59,SPGL,62,IPLR,0.06797744
18,11,IFGopercL,12,IFGopercR,0.06749386
19,12,IFGopercR,19,SMAL,0.06681992
20,22,OLFR,32,ACGR,0.06496286
21,12,IFGopercR,49,SOGL,0.06479477
22,21,OLFL,41,AMYGL,0.06402858
23,14,IFGtriangR,63,SMGL,0.06305126
24,29,INSL,32,ACGR,0.06235917
25,28,RECR,62,IPLR,0.06181666
26,109,Verm1_2,115,Verm9,0.06034764
27,29,INSL,80,HESR,0.05973808
28,101,Cere7bL,102,Cere7bR,0.05891249
29,20,SMAR,81,STGL,0.05800802
30,17,ROLL,30,INSR,0.05657269
31,18,ROLR,74,PUTR,0.05537988
32,17,ROLL,63,SMGL,0.05504069
33,74,PUTR,81,STGL,0.05494364
34,30,INSR,80,HESR,0.05388050
35,32,ACGR,71,CAUL,0.05368338
36,11,IFGopercL,17,ROLL,0.05186785
37,29,INSL,81,STGL,0.05182815
38,4,SFGdorR,8,MFGR,0.05132480
39,64,SMGR,109,Verm1_2,0.05128036
40,60,SPGR,68,PCUNR,0.05071614
41,60,SPGR,62,IPLR,0.04990595
42,59,SPGL,64,SMGR,0.04987174
43,22,OLFR,95,Cere3L,0.04980374
44,57,PoCGL,79,HESL,0.04882059
45,20,SMAR,30,INSR,0.04851190
46,18,ROLR,29,INSL,0.04824538
47,12,IFGopercR,61,IPLL,0.04788115
48,9,ORBmidL,61,IPLL,0.04724757
49,15,ORBinfL,22,OLFR,0.04691969
50,4,SFGdorR,69,PCLL,0.04589232
