rank,u_roi,u_label,v_roi,v_label,weight
1,4,SFGdorR,8,MFGR,0.10154333
2,7,MFGL,8,MFGR,0.07691092
3,4,SFGdorR,24,SFGmedR,0.07496706
4,6,ORBsupR,8,MFGR,0.06832253
5,8,MFGR,39,PHGL,0.06590881
6,24,SFGmedR,66,ANGR,0.06558346
7,4,SFGdorR,62,IPLR,0.06194570
8,6,ORBsupR,10,ORBmidR,0.05980142
9,36,PCGR,66,ANGR,0.05940616
10,71,CAUL,72,CAUR,0.05534536
11,3,SFGdorL,65,ANGL,0.04828692
12,60,SPGR,90,ITGR,0.04730489
13,33,DCGL,68,PCUNR,0.04725314
14,39,PHGL,62,IPLR,0.04711160
15,8,MFGR,40,PHGR,0.04660062
16,6,ORBsupR,9,ORBmidL,0.04595271
17,8,MFGR,101,Cere7bL,0.04593956
18,23,SFGmedL,60,SPGR,0.04333689
19,7,MFGL,40,PHGR,0.04202134
20,59,SPGL,60,SPGR,0.04120065
21,60,SPGR,68,PCUNR,0.04103964
22,6,ORBsupR,66,ANGR,0.04069487
23,4,SFGdorR,6,ORBsupR,0.04063420
24,10,ORBmidR,66,ANGR,0.04026961
25,36,PCGR,67,PCUNL,0.04008184
26,61,IPLL,66,ANGR,0.03894174
27,59,SPGL,67,PCUNL,0.03773826
28,62,IPLR,88,TPOmidR,0.03721474
29,38,HIPR,45,CUNL,0.03721038
30,8,MFGR,38,HIPR,0.03714063
31,66,ANGR,101,Cere7bL,0.03712823
32,60,SPGR,109,Verm1_2,0.03704934
33,86,MTGR,92,CC1R,0.03695691
34,65,ANGL,67,PCUNL,0.03549717
35,24,SFGmedR,60,SPGR,0.03455519
36,3,SFGdorL,4,SFGdorR,0.03445670
37,3,SFGdorL,60,SPGR,0.03373618
38,4,SFGdorR,68,PCUNR,0.03140286
39,14,IFGtriangR,66,ANGR,0.03110355
40,60,SPGR,62,IPLR,0.03073926
41,65,ANGL,94,CC2R,0.03071069
42,61,IPLL,96,Cere3R,0.03025595
43,62,IPLR,66,ANGR,0.02932462
44,35,PCGL,67,PCUNL,0.02917981
45,3,SFGdorL,68,PCUNR,0.02913773
46,87,TPOmidL,116,Verm10,0.02876065
47,62,IPLR,87,TPOmidL,0.02870206
48,89,ITGL,107,Cere10L,0.02851470
49,108,Cere10R,109,Verm1_2,0.02851347
50,34,DCGR,52,MOGR,0.02838389
