rank,u_roi,u_label,v_roi,v_label,weight
1,61,IPLL,65,ANGL,0.08940342
2,65,ANGL,102,Cere7bR,0.07826374
3,65,ANGL,85,MTGL,0.07271836
4,36,PCGR,65,ANGL,0.06493021
5,9,ORBmidL,88,TPOmidR,0.06323400
6,38,HIPR,61,IPLL,0.05405739
7,3,SFGdorL,7,MFGL,0.05289807
8,34,DCGR,36,PCGR,0.05181524
9,4,SFGdorR,106,Cere9R,0.05071346
10,3,SFGdorL,9,ORBmidL,0.04816668
11,90,ITGR,107,Cere10L,0.04559704
12,7,MFGL,24,SFGmedR,0.04542399
13,27,RECL,62,IPLR,0.04150747
14,10,ORBmidR,62,IPLR,0.04101302
15,36,PCGR,68,PCUNR,0.04079033
16,27,RECL,61,IPLL,0.04013697
17,9,ORBmidL,28,RECR,0.03960298
18,5,ORBsupL,9,ORBmidL,0.03861693
19,61,IPLL,105,Cere9L,0.03812127
20,61,IPLL,89,ITGL,0.03789622
21,7,MFGL,110,Verm3,0.03789583
22,35,PCGL,66,ANGR,0.03736199
23,66,ANGR,86,MTGR,0.03684283
24,7,MFGL,36,PCGR,0.03465949
25,33,DCGL,34,DCGR,0.03429409
26,65,ANGL,66,ANGR,0.03407058
27,22,OLFR,104,Cere8R,0.03405059
28,9,ORBmidL,110,Verm3,0.03377749
29,7,MFGL,102,Cere7bR,0.03374270
30,45,CUNL,116,Verm10,0.03354199
31,1,PreCGL,86,MTGR,0.03349441
32,26,ORBsupmedR,61,IPLL,0.03331997
33,58,PoCGR,86,MTGR,0.03330854
34,34,DCGR,92,CC1R,0.03318278
35,8,MFGR,108,Cere10R,0.03311932
36,101,Cere7bL,102,Cere7bR,0.03305976
37,7,MFGL,87,TPOmidL,0.03295581
38,6,ORBsupR,85,MTGL,0.03294058
39,85,MTGL,91,CC1L,0.03293137
40,90,ITGR,102,Cere7bR,0.03288386
41,34,DCGR,86,MTGR,0.03277353
42,9,ORBmidL,87,TPOmidL,0.03274283
43,68,PCUNR,95,Cere3L,0.03271824
44,5,ORBsupL,61,IPLL,0.03267894
45,35,PCGL,85,MTGL,0.03264290
46,7,MFGL,108,Cere10R,0.03262137
47,33,DCGL,90,ITGR,0.03260209
48,5,ORBsupL,33,DCGL,0.03258493
49,36,PCGR,93,CC2L,0.03255553
50,9,ORBmidL,65,ANGL,0.03255016
