rank,u_roi,u_label,v_roi,v_label,weight
1,64,SMGR,82,STGR,0.18025041
2,30,INSR,64,SMGR,0.14785363
3,18,ROLR,29,INSL,0.14394583
4,18,ROLR,30,INSR,0.12744340
5,18,ROLR,82,STGR,0.11884734
6,63,SMGL,64,SMGR,0.10963386
7,18,ROLR,80,HESR,0.10943982
8,30,INSR,80,HESR,0.10905847
9,17,ROLL,58,PoCGR,0.10009769
10,17,ROLL,30,INSR,0.09872517
11,29,INSL,64,SMGR,0.09627277
12,17,ROLL,82,STGR,0.09564167
13,57,PoCGL,64,SMGR,0.09540734
14,83,TPOsupL,84,TPOsupR,0.09040125
15,19,SMAL,29,INSL,0.08920842
16,29,INSL,80,HESR,0.08803789
17,64,SMGR,84,TPOsupR,0.08252602
18,74,PUTR,80,HESR,0.08019277
19,17,ROLL,64,SMGR,0.07991987
20,30,INSR,82,STGR,0.07705569
21,18,ROLR,84,TPOsupR,0.07691760
22,29,INSL,82,STGR,0.07327726
23,30,INSR,84,TPOsupR,0.07214597
24,20,SMAR,30,INSR,0.07146250
25,58,PoCGR,63,SMGL,0.06743283
26,30,INSR,73,PUTL,0.06653063
27,20,SMAR,29,INSL,0.06568339
28,80,HESR,82,STGR,0.06378791
29,30,INSR,74,PUTR,0.06338060
30,20,SMAR,74,PUTR,0.06089599
31,57,PoCGL,63,SMGL,0.06042456
32,18,ROLR,64,SMGR,0.05781242
33,17,ROLL,63,SMGL,0.05759542
34,64,SMGR,74,PUTR,0.05424327
35,82,STGR,83,TPOsupL,0.05288564
36,74,PUTR,79,HESL,0.04917128
37,18,ROLR,57,PoCGL,0.04802459
38,81,STGL,84,TPOsupR,0.04783992
39,80,HESR,84,TPOsupR,0.04583160
40,82,STGR,84,TPOsupR,0.04500486
41,19,SMAL,30,INSR,0.04478093
42,1,PreCGL,30,INSR,0.04459895
43,79,HESL,84,TPOsupR,0.04423555
44,63,SMGL,83,TPOsupL,0.04421358
45,30,INSR,58,PoCGR,0.04416850
46,81,STGL,82,STGR,0.04404011
47,12,IFGopercR,81,STGL,0.04385054
48,18,ROLR,42,AMYGR,0.04358214
49,16,ORBinfR,82,STGR,0.04348091
50,18,ROLR,63,SMGL,0.04342082
