rank,u_roi,u_label,v_roi,v_label,weight
1,18,ROLR,76,PALR,0.08477510
2,80,HESR,81,STGL,0.08439636
3,17,ROLL,73,PUTL,0.08131219
4,76,PALR,81,STGL,0.07730174
5,20,SMAR,81,STGL,0.07394021
6,73,PUTL,76,PALR,0.07392007
7,15,ORBinfL,29,INSL,0.07261568
8,73,PUTL,83,TPOsupL,0.07195309
9,2,PreCGR,81,STGL,0.07169950
10,2,PreCGR,17,ROLL,0.07085477
11,2,PreCGR,18,ROLR,0.06761093
12,74,PUTR,82,STGR,0.06349593
13,29,INSL,75,PALL,0.06233733
14,76,PALR,82,STGR,0.06190495
15,75,PALL,76,PALR,0.06009654
16,12,IFGopercR,63,SMGL,0.06004042
17,73,PUTL,75,PALL,0.05947760
18,1,PreCGL,18,ROLR,0.05768123
19,1,PreCGL,82,STGR,0.05761608
20,12,IFGopercR,17,ROLL,0.05730618
21,11,IFGopercL,17,ROLL,0.05609534
22,57,PoCGL,81,STGL,0.05579472
23,17,ROLL,79,HESL,0.05505586
24,30,INSR,72,CAUR,0.05224975
25,76,PALR,77,THAL,0.05094852
26,16,ORBinfR,17,ROLL,0.05047545
27,41,AMYGL,82,STGR,0.05017387
28,17,ROLL,84,TPOsupR,0.04909047
29,17,ROLL,75,PALL,0.04696991
30,1,PreCGL,17,ROLL,0.04630407
31,30,INSR,34,DCGR,0.04583537
32,2,PreCGR,80,HESR,0.04499333
33,17,ROLL,74,PUTR,0.04476728
34,17,ROLL,19,SMAL,0.04448268
35,2,PreCGR,20,SMAR,0.04274005
36,75,PALL,81,STGL,0.04253045
37,57,PoCGL,82,STGR,0.04183520
38,79,HESL,80,HESR,0.04088594
39,17,ROLL,18,ROLR,0.03943288
40,2,PreCGR,30,INSR,0.03849802
41,29,INSL,41,AMYGL,0.03807374
42,30,INSR,41,AMYGL,0.03738301
43,33,DCGL,79,HESL,0.03660730
44,1,PreCGL,81,STGL,0.03581679
45,30,INSR,33,DCGL,0.03556484
46,74,PUTR,81,STGL,0.03551903
47,29,INSL,74,PUTR,0.03487784
48,1,PreCGL,11,IFGopercL,0.03433956
49,73,PUTL,82,STGR,0.03351299
50,11,IFGopercL,81,STGL,0.03344569
